name	k_reaction	react_w_label	prod_w_label	n_label_react	n_label_prod	byproduct	reactant_2
glycerol_to_g3p	k_glycerol_to_g3p	GLY	G3P	0	0	None	None
g3p_to_lpa	k_g3p_to_lpa	G3P	LPA	0	1	None	None
lpa_to_pa	k_lpa_to_pa	LPA	PA	1	2	None	None
pa_to_dag	k_pa_to_dag	PA	DAG	2	2	None	None
dag_to_tag	k_dag_to_tag	DAG	TAG	2	3	None	None
choline_phosphorilation	k_choline_ph	Choline	ph_C	0	0	None	None
choline_cdp	k_choline_cdp	ph_C	CDP_C	0	0	None	None
ethanolamine_phosphorilation	k_ea_ph	Ethanolamine	ph_EA	0	0	None	None
ethanolamine_cdp	k_ea_cdp	ph_EA	CDP_EA	0	0	None	None
phosphatidylethanolamine_synthesis	k_pe_syn	DAG	PE	2	2	None	CDP_EA
phosphatidylcholine_synthesis	k_pc_syn	DAG	PC	2	2	None	CDP_C
pc_to_ps	k_pc_to_ps	PC	PS	2	2	Choline	Serine
pe_to_ps	k_pe_to_ps	PE	PS	2	2	Ethanolamine	Serine
ps_to_pe	k_ps_to_pe	PS	PE	2	2	None	None
pe_to_pc	k_pe_to_pc	PE	PC	2	2	None	None
pc_to_lpc	k_pc_to_lpc	PC	LPC	2	1	None	None
lpc_to_g3pc	k_lpc_to_g3pc	LPC	G3PC	1	0	None	None
g3pc_g3p	k_g3pc_to_g3p	G3PC	G3P	0	0	Choline	None
pe_to_lpe	k_pe_to_lpe	PE	LPE	2	1	None	None
lpe_to_g3pe	k_lpe_to_g3pe	LPE	G3PE	1	0	None	None
g3pe_to_g3p	k_g3pe_to_g3p	G3PE	G3P	0	0	Ethanolamine	None
dag_to_mag	k_dag_to_mag	DAG	MAG	2	1	None	None
mag_to_dag	k_mag_to_dag	MAG	DAG	1	2	None	None
tag_to_dag	k_tag_to_dag	TAG	DAG	3	2	None	None
mg_to_gly	k_mag_to_gly	MAG	GLY	1	0	None	None
serine_syn	k_serine_syn	None	Serine	0	0	None	None
serine_deg	k_serine_deg	Serine	None	0	0	None	None
gly_syn	k_gly_syn	None	GLY	0	0	None	None
gly_deg	k_gly_deg	GLY	None	0	0	None	None
fa_deg	k_fa_deg	FA	None	1	0	None	None
pc_transport	k_pc_trans	PC	None	2	0	None	None
choline_dephospho	k_choline_deph	ph_C	Choline	0	0	None	None
ea_dephospho	k_ea_deph	ph_EA	Ethanolamine	0	0	None	None
gly_deph	k_gly_deph	G3P	GLY	0	0	None	None
choline_syn	k_choline_syn	None	Choline	0	0	None	None
choline_deg	k_choline_deg	Choline	None	0	0	None	None
choline_cdp_back	k_choline_cdp_back	CDP_C	ph_C	0	0	None	None
ea_cdp_back	k_ea_cdp_back	CDP_EA	ph_EA	0	0	None	None
ea_deg	k_ea_deg	Ethanolamine	None	0	0	None	None
